ID,SampleWeight,phosphoricacid,glycericacid,Lserine,Lalanine,Lthreonine,Betaalanine,Dmalicacid,asparticacid,Lglutamicacid,transaconiticacid,glycerol1phosphate,shikimicacid,citricacid,quinicacid,fructose,Dglucose,tyrosine,galactonicacid,mucicacid,myoinositol,caffeicacid,Dglucose6phosphate,Sucrose,loganin,chlorogenicacid,Raffinose
A3G-3-3-1-313,31.9,0.88041929,0.024168414,0.008654787,0.003132425,0.008100978,0.0214116,0.65245982,0.09860936,0.134236548,0.283724558,1.83E-02,0.055980084,0.05948812,0.382468553,0.396303284,0.90581761,0.033537736,0.000999301,0.021292802,0.98717855,0.011332984,0.019044375,3.16706284,0.044437456,0.056060447,4.62E-02
A415-1-3_INBRED,30,0.203995382,0.009177883,0.033080271,0.00838907,0.01066144,0.007256851,0.39620277,0.051149298,0.02028133,0.273458935,0.012087197,0.013650089,0.015303649,0.03541044,0.865580402,0.77012498,0.00244124,0.003793328,0.008861677,0.43419386,2.13E-03,0.005999964,5.61009413,2.48E-02,0.029599748,3.13E-02
A508,23.1,0.296786191,0.023513177,2.13E-03,2.14E-03,4.84E-04,0.001255674,1.59E-01,1.96E-01,7.42E-03,0.350995415,0.012513809,2.20E-02,1.88E-02,1.33E-01,1.13E-01,2.05E-01,1.93E-03,2.71E-03,0.004582673,0.280689001,0.003784908,2.04E-03,0.072074184,9.38E-04,7.59E-02,0.002678294
A662,24.4,0.06256925,0.008559217,0.028788485,0.009393563,0.003982952,0.001168085,0.06147702,0.138958324,0.005026306,0.2575412,1.37E-02,1.032656496,0.010715033,1.657646172,0.110384902,0.1169282,0.005408926,0.001220337,3.80E-03,0.39211426,0.000746698,0.003366041,0.53581948,0.000969191,0.008264246,2.55E-04
A673,13.9,0.47212707,0.010308692,0.006678698,0.001090681,0.001035611,0.002334332,0.0437389,0.02299455,0.009393927,0.049210443,9.36E-04,0.007994246,0.029003234,0.036602816,0.023941435,0.20399706,0.002045218,0.001240592,0.015115029,0.23427913,0.01656978,0.01130912,0.08356068,0.000911705,0.014056472,1.72E-03
A96,25.7,0.08701891,0.019874586,NA,0.009908833,0.020932351,0.01222121,0.10420639,0.58411598,0.20423628,0.42801394,2.95E-02,0.023178321,0.021964027,0.0332176,1.39684663,1.58346378,0.037306353,0.002174821,0.004449251,1.06158987,1.80E-04,0.006277808,3.3905226,0.00031306,0.083473262,0.04427906
AM0776,27.15,0.102549914,0.006764582,0.01635,0.01635,0.002545,0.005219016,0.106,0.363,0.02345,0.189461569,0.006952908,0.011145,0.017875,0.02135,0.1199,0.1106,0.00809,0.00256,0.003124164,0.366114005,0.002852749,0.00237,0.983759345,0.0008165,0.0534,0.011903845
B101,30.45,0.141572869,0.012542982,0.01193,0.011915,0.00967,0.006397475,0.19795,0.1073,0.03605,0.255213727,0.00463295,0.0136,0.01938,0.03395,0.2895,0.169,0.00826,0.0049105,0.007789996,0.395064662,0.004219668,0.002465,1.076977048,0.003106,0.13,0.012412359
B106,25.9,0.082747838,0.005731001,2.69E-02,0.013523208,0.004243533,1.51E-03,0.011961367,0.050034169,5.84E-04,0.41798532,1.52E-02,0.003285179,0.011665998,0.01583303,0.016763763,0.025769318,0.004787522,0.000769233,0.008314945,0.36837992,1.43E-02,0.00184446,0.15277866,2.34E-05,8.37E-04,0.001005103
B42,25.2,0.084605418,0.040369711,0.015515364,0.004670378,0.014312334,0.006810672,0.487344,0.144686037,0.006713225,0.36627824,0.001853268,0.03022103,0.028544938,0.15214872,0.034198647,0.05372529,0.006015149,0.00214561,0.008671028,0.22568768,6.41E-04,0.000416365,0.20871087,7.44E-04,0.001775311,6.20E-05
